index,Unnamed: 0,Unnamed: 0.1,year,country,word,frequency,count,freq_prop_headlines,word_len,freq_rank,hfreq_rank,theme
0,12,277,2010,India,cricketer,0,1584,0.0,9,20,20,empowerment
1,13,278,2011,India,cricketer,0,2438,0.0,9,20,20,empowerment
2,14,279,2012,India,cricketer,0,3634,0.0,9,20,20,empowerment
3,15,280,2013,India,cricketer,4,4910,0.000814664,9,20,20,empowerment
4,16,281,2014,India,cricketer,6,7502,0.0007997869999999,9,20,20,empowerment
5,17,282,2015,India,cricketer,11,10532,0.001044436,9,20,20,empowerment
6,18,283,2016,India,cricketer,14,14012,0.000999144,9,20,20,empowerment
7,19,284,2017,India,cricketer,48,17097,0.00280751,9,20,20,empowerment
8,20,285,2018,India,cricketer,40,19170,0.002086594,9,20,20,empowerment
9,21,286,2019,India,cricketer,66,20849,0.003165619,9,20,20,empowerment
10,22,287,2020,India,cricketer,42,21942,0.001914137,9,20,20,empowerment
11,23,288,2021,India,cricketer,56,12622,0.004436698,9,20,20,empowerment
12,24,294,2010,India,dream,0,1584,0.0,5,21,21,empowerment
13,25,295,2011,India,dream,12,2438,0.004922067,5,21,21,empowerment
14,26,296,2012,India,dream,17,3634,0.004678041,5,21,21,empowerment
15,27,297,2013,India,dream,12,4910,0.002443992,5,21,21,empowerment
16,28,298,2014,India,dream,19,7502,0.002532658,5,21,21,empowerment
17,29,299,2015,India,dream,52,10532,0.004937334,5,21,21,empowerment
18,30,300,2016,India,dream,53,14012,0.003782472,5,21,21,empowerment
19,31,301,2017,India,dream,76,17097,0.004445224,5,21,21,empowerment
20,32,302,2018,India,dream,65,19170,0.003390715,5,21,21,empowerment
21,33,303,2019,India,dream,130,20849,0.006235311,5,21,21,empowerment
22,34,304,2020,India,dream,79,21942,0.003600401,5,21,21,empowerment
23,35,305,2021,India,dream,55,12622,0.004357471,5,21,21,empowerment
24,36,311,2010,India,ceo,0,1584,0.0,3,22,22,empowerment
25,37,312,2011,India,ceo,9,2438,0.00369155,3,22,22,empowerment
26,38,313,2012,India,ceo,15,3634,0.004127683,3,22,22,empowerment
27,39,314,2013,India,ceo,17,4910,0.003462322,3,22,22,empowerment
28,40,315,2014,India,ceo,37,7502,0.004932018,3,22,22,empowerment
29,41,316,2015,India,ceo,45,10532,0.004272693,3,22,22,empowerment
30,42,317,2016,India,ceo,48,14012,0.003425635,3,22,22,empowerment
31,43,318,2017,India,ceo,54,17097,0.003158449,3,22,22,empowerment
32,44,319,2018,India,ceo,58,19170,0.003025561,3,22,22,empowerment
33,45,320,2019,India,ceo,68,20849,0.003261547,3,22,22,empowerment
34,46,321,2020,India,ceo,100,21942,0.00455747,3,22,22,empowerment
35,47,322,2021,India,ceo,53,12622,0.004199018,3,22,22,empowerment
36,60,362,2010,India,girlfriend,0,1584,0.0,10,27,27,female stereotypes
37,61,363,2011,India,girlfriend,6,2438,0.002461034,10,27,27,female stereotypes
38,62,364,2012,India,girlfriend,6,3634,0.001651073,10,27,27,female stereotypes
39,63,365,2013,India,girlfriend,6,4910,0.001221996,10,27,27,female stereotypes
40,64,366,2014,India,girlfriend,14,7502,0.001866169,10,27,27,female stereotypes
41,65,367,2015,India,girlfriend,24,10532,0.002278769,10,27,27,female stereotypes
42,66,368,2016,India,girlfriend,40,14012,0.002854696,10,27,27,female stereotypes
43,67,369,2017,India,girlfriend,35,17097,0.002047143,10,27,27,female stereotypes
44,68,370,2018,India,girlfriend,35,19170,0.001825769,10,27,27,female stereotypes
45,69,371,2019,India,girlfriend,41,20849,0.001966521,10,27,27,female stereotypes
46,70,372,2020,India,girlfriend,49,21942,0.00223316,10,27,27,female stereotypes
47,71,373,2021,India,girlfriend,47,12622,0.003723657,10,27,27,female stereotypes
48,72,396,2010,India,founder,0,1584,0.0,7,30,30,empowerment
49,73,397,2011,India,founder,2,2438,0.000820345,7,30,30,empowerment
50,74,398,2012,India,founder,4,3634,0.001100715,7,30,30,empowerment
51,75,399,2013,India,founder,8,4910,0.001629328,7,30,30,empowerment
52,76,400,2014,India,founder,10,7502,0.001332978,7,30,30,empowerment
53,77,401,2015,India,founder,24,10532,0.002278769,7,30,30,empowerment
54,78,402,2016,India,founder,32,14012,0.002283757,7,30,30,empowerment
55,79,403,2017,India,founder,48,17097,0.00280751,7,30,30,empowerment
56,80,404,2018,India,founder,56,19170,0.002921231,7,30,30,empowerment
57,81,405,2019,India,founder,54,20849,0.002590052,7,30,30,empowerment
58,82,406,2020,India,founder,76,21942,0.003463677,7,30,30,empowerment
59,83,407,2021,India,founder,45,12622,0.003565204,7,30,30,empowerment
60,96,719,2010,India,strong,0,1584,0.0,6,59,59,empowerment
61,97,720,2011,India,strong,2,2438,0.000820345,6,59,59,empowerment
62,98,721,2012,India,strong,6,3634,0.001651073,6,59,59,empowerment
63,99,722,2013,India,strong,8,4910,0.001629328,6,59,59,empowerment
64,100,723,2014,India,strong,17,7502,0.002266062,6,59,59,empowerment
65,101,724,2015,India,strong,16,10532,0.00151918,6,59,59,empowerment
66,102,725,2016,India,strong,31,14012,0.002212389,6,59,59,empowerment
67,103,726,2017,India,strong,54,17097,0.003158449,6,59,59,empowerment
68,104,727,2018,India,strong,51,19170,0.002660407,6,59,59,empowerment
69,105,728,2019,India,strong,51,20849,0.00244616,6,59,59,empowerment
70,106,729,2020,India,strong,53,21942,0.002415459,6,59,59,empowerment
71,107,730,2021,India,strong,28,12622,0.002218349,6,59,59,empowerment
72,108,770,2010,India,abduct,0,1584,0.0,6,63,63,crime and violence
73,109,771,2011,India,abduct,4,2438,0.001640689,6,63,63,crime and violence
74,110,772,2012,India,abduct,4,3634,0.001100715,6,63,63,crime and violence
75,111,773,2013,India,abduct,5,4910,0.00101833,6,63,63,crime and violence
76,112,774,2014,India,abduct,8,7502,0.001066382,6,63,63,crime and violence
77,113,775,2015,India,abduct,6,10532,0.000569692,6,63,63,crime and violence
78,114,776,2016,India,abduct,34,14012,0.002426492,6,63,63,crime and violence
79,115,777,2017,India,abduct,24,17097,0.001403755,6,63,63,crime and violence
80,116,778,2018,India,abduct,28,19170,0.001460616,6,63,63,crime and violence
81,117,779,2019,India,abduct,43,20849,0.002062449,6,63,63,crime and violence
82,118,780,2020,India,abduct,39,21942,0.0017774129999999,6,63,63,crime and violence
83,119,781,2021,India,abduct,26,12622,0.002059895,6,63,63,crime and violence
84,132,923,2010,India,equality,0,1584,0.0,8,76,76,empowerment
85,133,924,2011,India,equality,5,2438,0.002050861,8,76,76,empowerment
86,134,925,2012,India,equality,4,3634,0.001100715,8,76,76,empowerment
87,135,926,2013,India,equality,9,4910,0.001832994,8,76,76,empowerment
88,136,927,2014,India,equality,18,7502,0.00239936,8,76,76,empowerment
89,137,928,2015,India,equality,27,10532,0.002563616,8,76,76,empowerment
90,138,929,2016,India,equality,29,14012,0.002069655,8,76,76,empowerment
91,139,930,2017,India,equality,36,17097,0.002105633,8,76,76,empowerment
92,140,931,2018,India,equality,44,19170,0.002295253,8,76,76,empowerment
93,141,932,2019,India,equality,59,20849,0.002829872,8,76,76,empowerment
94,142,933,2020,India,equality,45,21942,0.002050861,8,76,76,empowerment
95,143,934,2021,India,equality,22,12622,0.0017429879999999,8,76,76,empowerment
96,156,1127,2010,India,elect,0,1584,0.0,5,89,89,empowerment
97,157,1128,2011,India,elect,1,2438,0.000410172,5,89,89,empowerment
98,158,1129,2012,India,elect,4,3634,0.001100715,5,89,89,empowerment
99,159,1130,2013,India,elect,2,4910,0.000407332,5,89,89,empowerment
100,160,1131,2014,India,elect,8,7502,0.001066382,5,89,89,empowerment
101,161,1132,2015,India,elect,17,10532,0.0016141279999999,5,89,89,empowerment
102,162,1133,2016,India,elect,27,14012,0.00192692,5,89,89,empowerment
103,163,1134,2017,India,elect,20,17097,0.001169796,5,89,89,empowerment
104,164,1135,2018,India,elect,33,19170,0.00172144,5,89,89,empowerment
105,165,1136,2019,India,elect,26,20849,0.001247062,5,89,89,empowerment
106,166,1137,2020,India,elect,71,21942,0.003235803,5,89,89,empowerment
107,167,1138,2021,India,elect,18,12622,0.001426081,5,89,89,empowerment
108,168,1144,2010,India,fighter,0,1584,0.0,7,90,90,empowerment
109,169,1145,2011,India,fighter,5,2438,0.002050861,7,90,90,empowerment
110,170,1146,2012,India,fighter,3,3634,0.000825537,7,90,90,empowerment
111,171,1147,2013,India,fighter,3,4910,0.000610998,7,90,90,empowerment
112,172,1148,2014,India,fighter,15,7502,0.001999467,7,90,90,empowerment
113,173,1149,2015,India,fighter,39,10532,0.003703,7,90,90,empowerment
114,174,1150,2016,India,fighter,55,14012,0.003925207,7,90,90,empowerment
115,175,1151,2017,India,fighter,32,17097,0.001871673,7,90,90,empowerment
116,176,1152,2018,India,fighter,56,19170,0.002921231,7,90,90,empowerment
117,177,1153,2019,India,fighter,42,20849,0.002014485,7,90,90,empowerment
118,178,1154,2020,India,fighter,32,21942,0.00145839,7,90,90,empowerment
119,179,1155,2021,India,fighter,18,12622,0.001426081,7,90,90,empowerment
120,180,1195,2010,India,metoo,0,1584,0.0,5,97,97,empowerment
121,181,1196,2011,India,metoo,0,2438,0.0,5,97,97,empowerment
122,182,1197,2012,India,metoo,0,3634,0.0,5,97,97,empowerment
123,183,1198,2013,India,metoo,0,4910,0.0,5,97,97,empowerment
124,184,1199,2014,India,metoo,0,7502,0.0,5,97,97,empowerment
125,185,1200,2015,India,metoo,0,10532,0.0,5,97,97,empowerment
126,186,1201,2016,India,metoo,0,14012,0.0,5,97,97,empowerment
127,187,1202,2017,India,metoo,31,17097,0.001813184,5,97,97,empowerment
128,188,1203,2018,India,metoo,281,19170,0.01465832,5,97,97,empowerment
129,189,1204,2019,India,metoo,53,20849,0.002542088,5,97,97,empowerment
130,190,1205,2020,India,metoo,24,21942,0.001093793,5,97,97,empowerment
131,191,1206,2021,India,metoo,16,12622,0.001267628,5,97,97,empowerment
132,192,1212,2010,India,temple,0,1584,0.0,6,99,99,"race, ethnicity and identity"
133,193,1213,2011,India,temple,3,2438,0.001230517,6,99,99,"race, ethnicity and identity"
134,194,1214,2012,India,temple,2,3634,0.000550358,6,99,99,"race, ethnicity and identity"
135,195,1215,2013,India,temple,8,4910,0.001629328,6,99,99,"race, ethnicity and identity"
136,196,1216,2014,India,temple,9,7502,0.00119968,6,99,99,"race, ethnicity and identity"
137,197,1217,2015,India,temple,24,10532,0.002278769,6,99,99,"race, ethnicity and identity"
138,198,1218,2016,India,temple,95,14012,0.006779903,6,99,99,"race, ethnicity and identity"
139,199,1219,2017,India,temple,32,17097,0.001871673,6,99,99,"race, ethnicity and identity"
140,200,1220,2018,India,temple,113,19170,0.005894627,6,99,99,"race, ethnicity and identity"
141,201,1221,2019,India,temple,88,20849,0.004220826,6,99,99,"race, ethnicity and identity"
142,202,1222,2020,India,temple,30,21942,0.001367241,6,99,99,"race, ethnicity and identity"
143,203,1223,2021,India,temple,16,12622,0.001267628,6,99,99,"race, ethnicity and identity"
144,204,1314,2010,India,racist,0,1584,0.0,6,105,105,crime and violence
145,205,1315,2011,India,racist,0,2438,0.0,6,105,105,crime and violence
146,206,1316,2012,India,racist,4,3634,0.001100715,6,105,105,crime and violence
147,207,1317,2013,India,racist,9,4910,0.001832994,6,105,105,crime and violence
148,208,1318,2014,India,racist,3,7502,0.000399893,6,105,105,crime and violence
149,209,1319,2015,India,racist,11,10532,0.001044436,6,105,105,crime and violence
150,210,1320,2016,India,racist,5,14012,0.000356837,6,105,105,crime and violence
151,211,1321,2017,India,racist,21,17097,0.001228286,6,105,105,crime and violence
152,212,1322,2018,India,racist,26,19170,0.001356286,6,105,105,crime and violence
153,213,1323,2019,India,racist,26,20849,0.001247062,6,105,105,crime and violence
154,214,1324,2020,India,racist,51,21942,0.00232431,6,105,105,crime and violence
155,215,1325,2021,India,racist,15,12622,0.001188401,6,105,105,crime and violence
156,228,1382,2010,India,writer,0,1584,0.0,6,109,109,empowerment
157,229,1383,2011,India,writer,5,2438,0.002050861,6,109,109,empowerment
158,230,1384,2012,India,writer,4,3634,0.001100715,6,109,109,empowerment
159,231,1385,2013,India,writer,10,4910,0.00203666,6,109,109,empowerment
160,232,1386,2014,India,writer,12,7502,0.001599573,6,109,109,empowerment
161,233,1387,2015,India,writer,25,10532,0.002373718,6,109,109,empowerment
162,234,1388,2016,India,writer,31,14012,0.002212389,6,109,109,empowerment
163,235,1389,2017,India,writer,26,17097,0.001520735,6,109,109,empowerment
164,236,1390,2018,India,writer,42,19170,0.002190923,6,109,109,empowerment
165,237,1391,2019,India,writer,46,20849,0.002206341,6,109,109,empowerment
166,238,1392,2020,India,writer,42,21942,0.001914137,6,109,109,empowerment
167,239,1393,2021,India,writer,14,12622,0.001109174,6,109,109,empowerment
168,264,1569,2010,India,makeup,0,1584,0.0,6,124,124,female stereotypes
169,265,1570,2011,India,makeup,3,2438,0.001230517,6,124,124,female stereotypes
170,266,1571,2012,India,makeup,1,3634,0.000275179,6,124,124,female stereotypes
171,267,1572,2013,India,makeup,1,4910,0.000203666,6,124,124,female stereotypes
172,268,1573,2014,India,makeup,12,7502,0.001599573,6,124,124,female stereotypes
173,269,1574,2015,India,makeup,22,10532,0.002088872,6,124,124,female stereotypes
174,270,1575,2016,India,makeup,42,14012,0.002997431,6,124,124,female stereotypes
175,271,1576,2017,India,makeup,20,17097,0.001169796,6,124,124,female stereotypes
176,272,1577,2018,India,makeup,32,19170,0.001669275,6,124,124,female stereotypes
177,273,1578,2019,India,makeup,31,20849,0.001486882,6,124,124,female stereotypes
178,274,1579,2020,India,makeup,26,21942,0.001184942,6,124,124,female stereotypes
179,275,1580,2021,India,makeup,10,12622,0.0007922669999999,6,124,124,female stereotypes
180,276,2130,2010,India,nigerian,0,1584,0.0,8,169,169,"race, ethnicity and identity"
181,277,2131,2011,India,nigerian,3,2438,0.001230517,8,169,169,"race, ethnicity and identity"
182,278,2132,2012,India,nigerian,4,3634,0.001100715,8,169,169,"race, ethnicity and identity"
183,279,2133,2013,India,nigerian,1,4910,0.000203666,8,169,169,"race, ethnicity and identity"
184,280,2134,2014,India,nigerian,9,7502,0.00119968,8,169,169,"race, ethnicity and identity"
185,281,2135,2015,India,nigerian,8,10532,0.00075959,8,169,169,"race, ethnicity and identity"
186,282,2136,2016,India,nigerian,9,14012,0.000642307,8,169,169,"race, ethnicity and identity"
187,283,2137,2017,India,nigerian,11,17097,0.000643388,8,169,169,"race, ethnicity and identity"
188,284,2138,2018,India,nigerian,12,19170,0.000625978,8,169,169,"race, ethnicity and identity"
189,285,2139,2019,India,nigerian,8,20849,0.000383711,8,169,169,"race, ethnicity and identity"
190,286,2140,2020,India,nigerian,4,21942,0.000182299,8,169,169,"race, ethnicity and identity"
191,287,2141,2021,India,nigerian,4,12622,0.000316907,8,169,169,"race, ethnicity and identity"
192,300,2198,2010,India,witchcraft,0,1584,0.0,10,174,174,female stereotypes
